year,sport,gender,classification,champion,head_coach,runner_up,champion_score,runner_up_score,score_note,venue
1985,basketball,girls,Overall,St. Elizabeth,Frank Aiello,Ursuline,54,45,,
1984,basketball,girls,Overall,Delcastle,Larry Monaghan,St. Elizabeth,51,44,,
1983,basketball,girls,Overall,Saint Mark's,Mike Riley,St. Elizabeth,42,41,OT,
1982,basketball,girls,Overall,St. Elizabeth,Frank Aiello,Saint Mark's,54,53,OT,
1981,basketball,girls,Overall,Padua,Harry Baczkowski,Saint Mark's,56,39,,
1980,basketball,girls,Overall,Padua,Harry Baczkowski,Saint Mark's,44,37,,
1979,basketball,girls,Overall,St. Elizabeth,Frank Aiello,Tower Hill,46,38,,
1978,basketball,girls,Overall,Dickinson,Jimmy Smith,St. Elizabeth,61,59,,
1977,basketball,girls,Overall,A.I. du Pont,Karen Kohn,Wilmington,51,42,,
1976,basketball,girls,Overall,William Penn,Jack Carney,A.I. du Pont,53,48,,
1975,basketball,girls,Overall,Ursuline,Laura Capodanno,Mount Pleasant,31,29,,
1974,basketball,girls,Overall,Ursuline,Laura Capodanno,William Penn,54,23,,
1973,basketball,girls,Overall,Cape Henlopen,Bob Cassady,Mount Pleasant,33,31,,
2025,lacrosse,boys,Overall,Salesianum,Bob Healy,Cape Henlopen,12,9,,
2024,lacrosse,boys,Overall,Salesianum,Bob Healy,Cape Henlopen,16,6,,
2023,lacrosse,boys,Overall,Salesianum,Bob Healy,Cape Henlopen,13,11,,
2022,lacrosse,boys,Overall,Salesianum,Bob Healy,Cape Henlopen,13,11,,
2021,lacrosse,boys,Overall,Salesianum,Bob Healy,Cape Henlopen,12,10,,
2020,lacrosse,boys,Overall,,,,,,,
2019,lacrosse,boys,Overall,Cape Henlopen,Mark D'Ambrogi,Salesianum,12,10,,
2018,lacrosse,boys,Overall,Salesianum,Bob Healy,Caesar Rodney,14,9,,
2017,lacrosse,boys,Overall,Salesianum,Bob Healy,Cape Henlopen,13,5,,
2016,lacrosse,boys,Overall,Salesianum,Bob Healy,Appoquinimink,16,7,,
2015,lacrosse,boys,Overall,Salesianum,Bob Healy,Cape Henlopen,16,5,,
2014,lacrosse,boys,Overall,Cape Henlopen,Jack Lingo,Salesianum,9,7,,
2013,lacrosse,boys,Overall,Salesianum,Bob Healy,Caesar Rodney,18,4,,
2012,lacrosse,boys,Overall,Salesianum,Bob Healy,Caesar Rodney,13,2,,
2011,lacrosse,boys,Overall,Salesianum,Bob Healy,Tower Hill,7,5,,
2010,lacrosse,boys,Overall,Tower Hill,Brad du Pont,Salesianum,5,4,,
2009,lacrosse,boys,Overall,Salesianum,Bob Healy,Tower Hill,13,4,,
2008,lacrosse,boys,Overall,Cape Henlopen,Mark D'Ambrogi,Salesianum,8,7,,
2007,lacrosse,boys,Overall,Salesianum,Bob Healy,Wilmington Friends,12,5,,
2006,lacrosse,boys,Overall,Cape Henlopen,Mark D'Ambrogi,Tatnall,9,5,,
2005,lacrosse,boys,Overall,Tower Hill,Brad du Pont,Caesar Rodney,10,7,,
2004,lacrosse,boys,Overall,St. Andrew's,Jay Hutchinson,Saint Mark's,5,3,,
2003,lacrosse,boys,Overall,Tatnall,Bryan McDermott,Tower Hill,16,5,,
2002,lacrosse,boys,Overall,Cape Henlopen,Mark D'Ambrogi,Saint Mark's,8,4,,
2001,lacrosse,boys,Overall,Cape Henlopen,Mark D'Ambrogi,Tatnall,19,9,,
2000,lacrosse,boys,Overall,Tatnall,Bryan McDermott,Cape Henlopen,15,14,,
1999,lacrosse,boys,Overall,Caesar Rodney,John Coveleski,Tatnall,11,5,,
1998,lacrosse,boys,Overall,Cape Henlopen,Steve Aubrey,Tatnall,14,3,,
1997,lacrosse,boys,Overall,Caesar Rodney,John Coveleski,Wilmington Friends,21,6,,
1996,lacrosse,boys,Overall,Caesar Rodney,John Coveleski,Tatnall,8,4,,
1995,lacrosse,boys,Overall,Salesianum,Pat Scarpello,Cape Henlopen,12,6,,
1994,lacrosse,boys,Overall,Tatnall,Clee Edgar,Salesianum,8,4,,
1993,lacrosse,boys,Overall,Tatnall,Clee Edgar,Brandywine,10,7,,
2025,baseball,boys,Overall,Cape Henlopen,Ben Evick,Conrad,6,4,,
2024,baseball,boys,Overall,Salesianum,Ted Godfrey,Caesar Rodney,7,3,,
2023,baseball,boys,Overall,DMA,Aaron Lewis,Conrad,7,1,,
2022,baseball,boys,Overall,Cape Henlopen,Ben Evick,Appoquinimink,4,1,,
2021,baseball,boys,Overall,DMA,Aaron Lewis,Appoquinimink,9,5,,
2020,baseball,boys,Overall,,,,,,,
2019,baseball,boys,Overall,Appoquinimink,Mike Torres,Caravel,3,0,,
2018,baseball,boys,Overall,Cape Henlopen,Ben Evick,Caravel,5,3,,
2017,baseball,boys,Overall,Caravel,Paul Niggebrugge,Conrad,14,1,,
2016,baseball,boys,Overall,Saint Mark's,Matt Smith,Caravel,5,4,,
2015,baseball,boys,Overall,Appoquinimink,Billy Cunningham,Cape Henlopen,10,2,,
2014,baseball,boys,Overall,Caravel,Paul Niggebrugge,Saint Mark's,8,0,,
2013,baseball,boys,Overall,Saint Mark's,Matt Smith,Caravel,4,1,,
2012,baseball,boys,Overall,Saint Mark's,Matt Smith,Milford,4,3,,
2011,baseball,boys,Overall,Caravel,Paul Niggebrugge,Appoquinimink,13,4,,
