year,sport,gender,classification,champion,head_coach,runner_up,champion_score,runner_up_score,score_note,venue
2015,cross country,boys,Division I,Charter of Wilmington,Rick Schuder,Salesianum,32,95,,Killens Pond
2014,cross country,boys,Division I,Salesianum,Mike LoSapio,Charter of Wilmington,39,39,,White Clay Creek
2013,cross country,boys,Division I,Salesianum,Mike LoSapio,Newark,49,50,,Killens Pond
2012,cross country,boys,Division I,Salesianum,Mike LoSapio,Newark,26,51,,Brandywine Creek
2011,cross country,boys,Division I,Salesianum,Mike LoSapio,Charter of Wilmington,31,67,,Killens Pond
2010,cross country,boys,Division I,Salesianum,Mike LoSapio,Saint Mark's,18,75,,Brandywine Creek
2009,cross country,boys,Division I,Salesianum,Mike LoSapio,Saint Mark's,47,48,,Killens Pond
2008,cross country,boys,Division I,Salesianum,Mike LoSapio,Charter of Wilmington,40,89,,White Clay Creek
2007,cross country,boys,Division I,Saint Mark's,Joe O'Neill,Caesar Rodney,60,62,,Killens Pond
2006,cross country,boys,Division I,Salesianum,Ralph Heiss,Caesar Rodney,45,70,,Killens Pond
2005,cross country,boys,Division I,Salesianum,Ralph Heiss,Saint Mark's,36,55,,Brandywine Creek
2004,cross country,boys,Division I,Salesianum,Ralph Heiss,Charter of Wilmington,33,61,,Killens Pond
2003,cross country,boys,Division I,Salesianum,Ralph Heiss,Charter of Wilmington,17,97,,Brandywine Creek
2002,cross country,boys,Division I,Salesianum,Ralph Heiss,Newark,28,69,,Killens Pond
2001,cross country,boys,Division I,Salesianum,Ralph Heiss,Middletown,28,78,,Bellevue
2000,cross country,boys,Division I,Saint Mark's,Joe O'Neill,Salesianum,44,64,,Killens Pond
1999,cross country,boys,Division I,Salesianum,Ralph Heiss,Saint Mark's,37,51,,Brandywine Creek
1998,cross country,boys,Division I,Salesianum,Ralph Heiss,Brandywine,42,79,,Killens Pond
1997,cross country,boys,Division I,Salesianum,Ralph Heiss,Caesar Rodney,40,70,,White Clay Creek
1996,cross country,boys,Division I,Salesianum,Ralph Heiss,Caesar Rodney,37,66,,Killens Pond
1995,cross country,boys,Division I,Salesianum,Ralph Heiss,Caesar Rodney,29,73,,Brandywine Creek
1994,cross country,boys,Division I,Salesianum,Ralph Heiss,Caesar Rodney,51,54,,Killens Pond
1993,cross country,boys,Division I,Saint Mark's,Joe O'Neill,Salesianum,47,53,,Brandywine Creek
1992,cross country,boys,Division I,Salesianum,Ralph Heiss,A.I. du Pont,43,110,,Killens Pond
1991,cross country,boys,Division I,Salesianum,Ralph Heiss,A.I. du Pont,59,74,,Brandywine Creek
1990,cross country,boys,Division I,Salesianum,Ralph Heiss,Newark,29,71,,Killens Pond
1989,cross country,boys,Division I,Salesianum,Ralph Heiss,Newark,50,61,,Brandywine Creek
1988,cross country,boys,Division I,Delcastle,Lou Nicoletti,Salesianum,29,46,,Killens Pond
1987,cross country,boys,Division I,Salesianum,Br. George Robbins,Delcastle,45,51,,Brandywine Creek
1986,cross country,boys,Division I,Salesianum,Br. George Robbins,Caesar Rodney,68,82,,Killens Pond
1985,cross country,boys,Division I,Salesianum,Br. George Robbins,Concord,38,45,,Bellevue
1984,cross country,boys,Division I,Salesianum,Br. George Robbins,Howard,39,106,,Carpenter Park
1983,cross country,boys,Division I,Salesianum,Rev. Joseph Beattie,Cape Henlopen,65,82,,Killens Pond
1982,cross country,boys,Division I,Salesianum,Rev. Joseph Beattie,Glasgow,53,104,,Bellevue
1981,cross country,boys,Division I,Salesianum,Rev. Joseph Beattie,Saint Mark's,33,89,,Killens Pond
1980,cross country,boys,Division I,Salesianum,Rev. Joseph Beattie,Saint Mark's,36,82,,Killens Pond
1979,cross country,boys,Division I,Salesianum,Rev. Joseph Beattie,Saint Mark's,35,93,,Bellevue
1978,cross country,boys,Division I,Salesianum,Rev. Joseph Beattie,Newark,36,90,,Killens Pond
1977,cross country,boys,Division I,Salesianum,Rev. Joseph Beattie,Christiana,49,73,,Brandywine Creek
1976,cross country,boys,Division I,Salesianum,Rev. Joseph Beattie,Christiana,56,92,,Killens Pond
1975,cross country,boys,Division I,Glasgow,Bill Conley,Saint Mark's,56,79,,Brandywine Creek
1974,cross country,boys,Division I,Salesianum,Rev. Joseph Beattie,Saint Mark's,25,107,,Killens Pond
1973,cross country,boys,Division I,Salesianum,Rev. Joseph Beattie,Dickinson,29,63,,Polly Drummond Hill
1972,cross country,boys,Division I,Salesianum,Rev. Joseph Beattie,Newark,68,116,,Killens Pond
1971,cross country,boys,Division I,Newark,Ray Ciesinski,Salesianum,47,74,,Polly Drummond Hill
1970,cross country,boys,Division I,Salesianum,Rev. Joseph Beattie,Newark,41,94,,Polly Drummond Hill
1969,cross country,boys,Division I,Salesianum,Rev. Joseph Beattie,Mount Pleasant,43,95,,Polly Drummond Hill
1968,cross country,boys,Division I,Brandywine,Dave Curtis,Salesianum,35,52,,Polly Drummond Hill
1967,cross country,boys,Division I,McKean,Bob Geiger,Brandywine,55,85,,Rockford Park
1966,cross country,boys,Division I,Brandywine,Dave Curtis,DeLaWarr,75,82,,Rockford Park
1965,cross country,boys,Division I,Wilmington,Bill Bixler,Dickinson,75,84,,Rockford Park
1964,cross country,boys,Division I,Brandywine,Dave Curtis,Salesianum,66,108,,Rockford Park
1963,cross country,boys,Division I,Brandywine,Dave Curtis,DeLaWarr,47,90,,Rockford Park
2025,cross country,boys,Division II,Saint Mark's,Mike DiGennaro,Newark Charter,57,84,,Killens Pond
2024,cross country,boys,Division II,Tatnall,Patrick Castagno,St. Andrew's,43,82,,Killens Pond
2023,cross country,boys,Division II,Tatnall,Patrick Castagno,Saint Mark's,40,93,,Brandywine Creek
2022,cross country,boys,Division II,Tatnall,Patrick Castagno,St. Andrew's,51,98,,Killens Pond
2021,cross country,boys,Division II,Tatnall,Patrick Castagno,Conrad,29,95,,Brandywine Creek
2020,cross country,boys,Division II,Tatnall,Patrick Castagno,Wilmington Friends,25,55,,Killens Pond
2019,cross country,boys,Division II,Wilmington Friends,Nora Reynolds/Paul Nemeth,Tatnall,66,76,,Killens Pond
2018,cross country,boys,Division II,Tatnall,Patrick Castagno,St. Andrew's,44,45,,Brandywine Creek
2017,cross country,boys,Division II,Tatnall,Patrick Castagno,St. Andrew's,45,59,,Killens Pond
2016,cross country,boys,Division II,Tatnall,Patrick Castagno,St. Andrew's,60,77,,Brandywine Creek
2015,cross country,boys,Division II,Tatnall,Patrick Castagno,Newark Charter,21,114,,Killens Pond
2014,cross country,boys,Division II,Tatnall,Patrick Castagno,Tower Hill,20,106,,White Clay Creek
2013,cross country,boys,Division II,Tatnall,Patrick Castagno,Archmere,22,122,,Killens Pond
2012,cross country,boys,Division II,Tatnall,Patrick Castagno,Archmere,24,62,,Brandywine Creek
2011,cross country,boys,Division II,Tatnall,Patrick Castagno,Archmere,31,60,,Killens Pond
2010,cross country,boys,Division II,Tatnall,Patrick Castagno,Archmere,30,105,,Brandywine Creek
2009,cross country,boys,Division II,Tatnall,Patrick Castagno,Archmere,31,38,,Killens Pond
2008,cross country,boys,Division II,Archmere,John Jordan,Tatnall,28,60,,White Clay Creek
2007,cross country,boys,Division II,Archmere,Noel Breger,Tatnall,37,64,,Killens Pond
2006,cross country,boys,Division II,Tatnall,Patrick Castagno,Concord,60,63,,Killens Pond
2005,cross country,boys,Division II,Tatnall,Patrick Castagno,Concord,37,108,,Brandywine Creek
2004,cross country,boys,Division II,Archmere,Noel Breger,Tatnall,45,45,,Killens Pond
2003,cross country,boys,Division II,Tatnall,Patrick Castagno,Archmere,30,35,,Brandywine Creek
2002,cross country,boys,Division II,Archmere,Noel Breger,Tatnall,32,123,,Killens Pond
2001,cross country,boys,Division II,Cape Henlopen,Pat Pollock,Archmere,47,61,,Bellevue
2000,cross country,boys,Division II,Archmere,Noel Breger,Wilmington Christian,61,72,,Killens Pond
1999,cross country,boys,Division II,Cape Henlopen,Pat Pollock,Wilmington Christian,60,70,,Brandywine Creek
1998,cross country,boys,Division II,Middletown,Bill Dubois,Wilmington Christian,84,97,,Killens Pond
1997,cross country,boys,Division II,Archmere,John Jordan,Lake Forest,74,95,,White Clay Creek
1996,cross country,boys,Division II,Lake Forest,Jim Blades,Sanford,80,95,,Killens Pond
1995,cross country,boys,Division II,Archmere,John Jordan,Sanford,53,73,,Brandywine Creek
1994,cross country,boys,Division II,Archmere,John Jordan,Seaford,90,91,,Killens Pond
1993,cross country,boys,Division II,Lake Forest,Jim Blades,Middletown,86,91,,Brandywine Creek
1992,cross country,boys,Division II,Lake Forest,Jim Blades,Middletown,55,68,,Killens Pond
1991,cross country,boys,Division II,Archmere,John Jordan,McKean,62,72,,Brandywine Creek
1990,cross country,boys,Division II,McKean,Jim Emerick,Archmere,54,55,,Killens Pond
1989,cross country,boys,Division II,McKean,Roger Cohen,St. Elizabeth,53,95,,Brandywine Creek
1988,cross country,boys,Division II,St. Andrew's,Don Cameron,Archmere,82,126,,Killens Pond
1987,cross country,boys,Division II,Howard,Ron Moody,Lake Forest,94,112,,Brandywine Creek
1986,cross country,boys,Division II,Lake Forest,Jim Blades,Woodbridge,65,89,,Killens Pond
1985,cross country,boys,Division II,Dickinson,Mike Reilly,Archmere,58,85,,Bellevue
1984,cross country,boys,Division II,Dickinson,Mike Reilly,Tower Hill,23,86,,Carpenter Park
1983,cross country,boys,Division II,Lake Forest,Jim Blades,Archmere,82,84,,Killens Pond
1982,cross country,boys,Division II,Cape Henlopen,George Pepper,Lake Forest,41,122,,Bellevue
1981,cross country,boys,Division II,Howard,Maurice Webster,McKean,81,96,,Killens Pond
1980,cross country,boys,Division II,Sussex Central,Herm Bastianelli,McKean,74,81,,Killens Pond
1979,cross country,boys,Division II,Cape Henlopen,George Pepper,Smyrna,70,93,,Bellevue
1978,cross country,boys,Division II,Woodbridge,Bill Degnan,Sussex Central,69,95,,Killens Pond
1977,cross country,boys,Division II,Cape Henlopen,Dave Frederick,P.S. du Pont,75,96,,Brandywine Creek
1976,cross country,boys,Division II,Lake Forest,Jim Blades,Cape Henlopen,46,98,,Killens Pond
1975,cross country,boys,Division II,Lake Forest,Jim Blades,Cape Henlopen,36,75,,Brandywine Creek
1974,cross country,boys,Division II,Lake Forest,Jim Blades,Dover Air,52,74,,Killens Pond
1973,cross country,boys,Division II,Lake Forest,Jim Blades,Archmere,40,101,,Polly Drummond Hill
1972,cross country,boys,Division II,Archmere,Lou LoBosco,Dover Air,40,82,,Killens Pond
1971,cross country,boys,Division II,Dover Air,Charles Bell,P.S. du Pont,78,81,,Polly Drummond Hill
1970,cross country,boys,Division II,P.S. du Pont,Paul Pamseur,Lake Forest,53,83,,Polly Drummond Hill
1969,cross country,boys,Division II,Lake Forest,Harold McDonald,A.I. du Pont,50,81,,Polly Drummond Hill
1968,cross country,boys,Division II,Archmere,Lou LoBosco,Harrington,49,61,,Polly Drummond Hill
1967,cross country,boys,Division II,Tower Hill,Bob Behr,Archmere,29,65,,Rockford Park
1966,cross country,boys,Division II,Harrington,Harold McDonald,Tower Hill,52,61,,Rockford Park
1965,cross country,boys,Division II,Tower Hill,Bob Behr,Milton,29,46,,Rockford Park
1964,cross country,boys,Division II,Tower Hill,Bob Behr,Harrington,32,54,,Rockford Park
1963,cross country,boys,Division II,Harrington,Harold McDonald,A.I. du Pont,34,80,,Rockford Park
2025,cross country,girls,Division I,Padua,Marnie Giunta,Charter of Wilmington,16,72,,Killens Pond
2024,cross country,girls,Division I,Padua,Marnie Giunta,Charter of Wilmington,15,75,,Killens Pond
2023,cross country,girls,Division I,Padua,Marnie Giunta,Caesar Rodney,23,72,,Brandywine Creek
2022,cross country,girls,Division I,Padua,Marnie Giunta,Charter of Wilmington,21,68,,Killens Pond
2021,cross country,girls,Division I,Padua,Marnie Giunta,Charter of Wilmington,27,76,,Brandywine Creek
2020,cross country,girls,Division I,Padua,Marnie Giunta,Charter of Wilmington,45,101,,Killens Pond
2019,cross country,girls,Division I,Padua,Marnie Giunta,Charter of Wilmington,55,102,,Killens Pond
2018,cross country,girls,Division I,Padua,Marnie Giunta,Charter of Wilmington,15,95,,Brandywine Creek
2017,cross country,girls,Division I,Padua,Marnie Giunta,Smyrna,18,84,,Killens Pond
2016,cross country,girls,Division I,Padua,Marnie Giunta,Charter of Wilmington,19,71,,Brandywine Creek
2015,cross country,girls,Division I,Padua,Marnie Giunta,Charter of Wilmington,44,69,,Killens Pond
2014,cross country,girls,Division I,Padua,Marnie Giunta,Charter of Wilmington,30,81,,White Clay Creek
2013,cross country,girls,Division I,Padua,Marnie Giunta,Charter of Wilmington,35,94,,Killens Pond
2012,cross country,girls,Division I,Charter of Wilmington,Lavel Walker,Middletown,44,113,,Brandywine Creek
2011,cross country,girls,Division I,Charter of Wilmington,Lavel Walker,Saint Mark's,42,101,,Killens Pond
2010,cross country,girls,Division I,Charter of Wilmington,Lavel Walker,Saint Mark's,27,55,,Brandywine Creek
2009,cross country,girls,Division I,Charter of Wilmington,Lavel Walker,Saint Mark's,25,89,,Killens Pond
2008,cross country,girls,Division I,Padua,Marnie Giunta,Charter of Wilmington,32,53,,White Clay Creek
2007,cross country,girls,Division I,Padua,Marnie Giunta,Charter of Wilmington,32,57,,Killens Pond
2006,cross country,girls,Division I,Saint Mark's,Joe O'Neill,Padua,42,45,,Killens Pond
2005,cross country,girls,Division I,Padua,Theresa Marini,A.I. du Pont,27,65,,Brandywine Creek
2004,cross country,girls,Division I,Padua,John Lannutti,Newark,48,107,,Killens Pond
2003,cross country,girls,Division I,Padua,John Lannutti,Brandywine,39,79,,Brandywine Creek
2002,cross country,girls,Division I,Caesar Rodney,Charles Bell,Padua,57,57,,Killens Pond
2001,cross country,girls,Division I,Caesar Rodney,Charles Bell,Padua,44,68,,Bellevue
2000,cross country,girls,Division I,Brandywine,Michelle Flanagan,Saint Mark's,61,72,,Killens Pond
1999,cross country,girls,Division I,Saint Mark's,Joe O'Neill,Brandywine,57,59,,Brandywine Creek
1998,cross country,girls,Division I,Brandywine,Michelle Flanagan,Saint Mark's,39,75,,Killens Pond
1997,cross country,girls,Division I,Brandywine,Michelle Flanagan,Caesar Rodney,69,79,,White Clay Creek
1996,cross country,girls,Division I,Saint Mark's,Joe O'Neill,Brandywine,48,63,,Killens Pond
1995,cross country,girls,Division I,Saint Mark's,Joe O'Neill,Padua,56,81,,Brandywine Creek
1994,cross country,girls,Division I,Brandywine,Michelle Lucey,Dover,62,73,,Killens Pond
1993,cross country,girls,Division I,A.I. du Pont,Steve Lantz,Concord,79,109,,Brandywine Creek
1992,cross country,girls,Division I,Saint Mark's,Joe O'Neill,A.I. du Pont,71,91,,Killens Pond
1991,cross country,girls,Division I,A.I. du Pont,Steve Lantz,Saint Mark's,34,99,,Brandywine Creek
1990,cross country,girls,Division I,A.I. du Pont,Steve Lantz,Delcastle,38,56,,Killens Pond
1989,cross country,girls,Division I,A.I. du Pont,Steve Lantz,Delcastle,34,54,,Brandywine Creek
1988,cross country,girls,Division I,Padua,Rob Lambert,Delcastle,33,67,,Killens Pond
1987,cross country,girls,Division I,Padua,Rob Lambert,Delcastle,33,63,,Brandywine Creek
1986,cross country,girls,Division I,Padua,Rob Lambert,Concord,42,77,,Killens Pond
1985,cross country,girls,Division I,Padua,Rob Lambert,Newark,30,75,,Bellevue
1984,cross country,girls,Division I,Padua,Rob Lambert,Saint Mark's,51,65,,Carpenter Park
1983,cross country,girls,Overall,Padua,Rob Lambert,Ursuline,51,76,,Killens Pond
1982,cross country,girls,Overall,Padua,Rob Lambert,Ursuline,16,58,,Bellevue
1981,cross country,girls,Overall,Padua,Rob Lambert,St. Elizabeth,46,67,,Killens Pond
2025,cross country,girls,Division II,Tatnall,Patrick Castagno,Archmere,52,70,,Killens Pond
2024,cross country,girls,Division II,Tatnall,Patrick Castagno,St. Andrew's,32,74,,Killens Pond
2023,cross country,girls,Division II,Tatnall,Patrick Castagno,Archmere,33,99,,Brandywine Creek
2022,cross country,girls,Division II,St. Andrew's,Jen Carroll,Archmere,59,98,,Killens Pond
2021,cross country,girls,Division II,Saint Mark's,Mike DiGennaro,Ursuline,61,90,,Brandywine Creek
2020,cross country,girls,Division II,Ursuline,Jim Fischer,Saint Mark's,56,80,,Killens Pond
2019,cross country,girls,Division II,Ursuline,Jim Fischer,Saint Mark's ,50,52,,Killens Pond
2018,cross country,girls,Division II,Ursuline,Jim Fischer,Tatnall,45,76,,Brandywine Creek
2017,cross country,girls,Division II,Tatnall,Patrick Castagno,Mount Pleasant,38,98,,Killens Pond
2016,cross country,girls,Division II,Tatnall,Patrick Castagno,Newark Charter,21,68,,Brandywine Creek
2015,cross country,girls,Division II,Tatnall,Patrick Castagno,St. Andrew's,34,75,,Killens Pond
2014,cross country,girls,Division II,Tatnall,Patrick Castagno,DMA,51,61,,White Clay Creek
2013,cross country,girls,Division II,Tatnall,Patrick Castagno,DMA,34,65,,Killens Pond
2012,cross country,girls,Division II,Tatnall,Patrick Castagno,Padua,16,55,,Brandywine Creek
2011,cross country,girls,Division II,Tatnall,Patrick Castagno,Ursuline,15,79,,Killens Pond
2010,cross country,girls,Division II,Tatnall,Patrick Castagno,Padua,19,74,,Brandywine Creek
2009,cross country,girls,Division II,Tatnall,Patrick Castagno,Archmere,17,59,,Killens Pond
2008,cross country,girls,Division II,Tatnall,Patrick Castagno,Archmere,15,76,,White Clay Creek
2007,cross country,girls,Division II,Tatnall,Patrick Castagno,Archmere,20,45,,Killens Pond
2006,cross country,girls,Division II,Tatnall,Patrick Castagno,St. Andrew's,18,92,,Killens Pond
2005,cross country,girls,Division II,Tatnall,Patrick Castagno,Archmere,23,105,,Brandywine Creek
2004,cross country,girls,Division II,Tatnall,Patrick Castagno,Archmere,58,67,,Killens Pond
2003,cross country,girls,Division II,Archmere,Mike Walsh,Tower Hill,65,66,,Brandywine Creek
2002,cross country,girls,Division II,Tower Hill,Cherie Martinez,Archmere,22,85,,Killens Pond
2001,cross country,girls,Division II,Lake Forest,Jim Blades,Seaford,66,71,,Bellevue
2000,cross country,girls,Division II,Seaford,Vince Morris,Lake Forest,74,83,,Killens Pond
1999,cross country,girls,Division II,Cape Henlopen,Pat Pollock,Ursuline,67,69,,Brandywine Creek
1998,cross country,girls,Division II,Ursuline,Lou Olivere,Lake Forest,53,65,,Killens Pond
1997,cross country,girls,Division II,Ursuline,Lou Olivere,Concord,25,80,,White Clay Creek
1996,cross country,girls,Division II,Ursuline,Lou Olivere,Cape Henlopen,52,102,,Killens Pond
1995,cross country,girls,Division II,Ursuline,Lou Olivere,McKean,58,66,,Brandywine Creek
1994,cross country,girls,Division II,Ursuline,Lou Olivere,Milford,38,96,,Killens Pond
1993,cross country,girls,Division II,Lake Forest,Jim Blades,Archmere,49,70,,Brandywine Creek
1992,cross country,girls,Division II,Archmere,Mike Walsh,Lake Forest,70,75,,Killens Pond
1991,cross country,girls,Division II,McKean,Jim Emerick,Ursuline,48,61,,Brandywine Creek
1990,cross country,girls,Division II,Lake Forest,Jim Blades,Mount Pleasant,84,97,,Killens Pond
1989,cross country,girls,Division II,Ursuline,Lou Olivere,Dickinson,57,91,,Brandywine Creek
1988,cross country,girls,Division II,Ursuline,John Caslin,Smyrna,54,118,,Killens Pond
1987,cross country,girls,Division II,Ursuline,Lou DiMascio,Dickinson,17,57,,Brandywine Creek
1986,cross country,girls,Division II,Ursuline,Lou DiMascio,Archmere,32,70,,Killens Pond
1985,cross country,girls,Division II,Ursuline,Lou DiMascio,Archmere,46,76,,Bellevue
1984,cross country,girls,Division II,Ursuline,Lou DiMascio,Archmere,32,81,,Carpenter Park
2025,indoor track and field,boys,Overall,Middletown,Yvenel Sainsume,Cape Henlopen,85,59,,
2024,indoor track and field,boys,Overall,Salesianum,Tim Byrne,Caesar Rodney,101,67,,
2023,indoor track and field,boys,Overall,Salesianum,Tim Byrne,A.I. du Pont,98,58,,
2022,indoor track and field,boys,Overall,Salesianum,Tim Byrne,Cape Henlopen,111,57,,
2021,indoor track and field,boys,Overall,Salesianum,Tim Byrne,Smyrna,117.5,86,,
2020,indoor track and field,boys,Overall,Salesianum,Tim Byrne,Smyrna,68,66,,
2019,indoor track and field,boys,Overall,Dover,Jim Solomon,Salesianum,66,56,,
2018,indoor track and field,boys,Overall,Salesianum,Joe Gioffre,Dover,92,85,,
2017,indoor track and field,boys,Overall,Howard,Nick Palka,Salesianum,83,78.5,,
2016,indoor track and field,boys,Overall,Salesianum,Joe Gioffre,Dover,100,78,,
2015,indoor track and field,boys,Overall,Dover,Jim Solomon,Salesianum,100,57,,
2014,indoor track and field,boys,Overall,Tatnall,Patrick Castagno,Dover,78,76,,
2013,indoor track and field,boys,Overall,Caesar Rodney,Mike Tucci,Dover,84,59,,
2012,indoor track and field,boys,Overall,Salesianum,Mike LoSapio,Milford,86.5,80,,
2011,indoor track and field,boys,Overall,Tatnall,Patrick Castagno,Caesar Rodney,63,42,,
2010,indoor track and field,boys,Overall,Tatnall,Patrick Castagno,Howard,63,56,,
2009,indoor track and field,boys,Overall,Christiana,David Jones,Newark,93,48,,
2008,indoor track and field,boys,Overall,Concord,Jeremy Lambert,Glasgow,65,64,,
2007,indoor track and field,boys,Overall,Concord,Jeff Langrehr,Salesianum,76,52,,
2006,indoor track and field,boys,Overall,Salesianum,Ralph Heiss,Dover,67,54,,
2005,indoor track and field,boys,Overall,Salesianum,Ralph Heiss,Newark,87,70,,
2004,indoor track and field,boys,Overall,Newark,Frank Smith,Salesianum,59,53,,
2003,indoor track and field,boys,Overall,Salesianum,Ralph Heiss,Dover,96,85,,
2002,indoor track and field,boys,Overall,Dover,Jim Solomon,William Penn,76,64,,
2001,indoor track and field,boys,Overall,William Penn,Jim Hopkins,Dover,64,56,,
2000,indoor track and field,boys,Overall,Glasgow,Art Madric,Dover,56,53,,
1999,indoor track and field,boys,Overall,Salesianum,Ralph Heiss,Dover,88,70,,
1998,indoor track and field,boys,Overall,Dover,Jim Solomon,Glasgow,99,87,,
1997,indoor track and field,boys,Overall,Hodgson,Marge Dougherty,Glasgow,81,78,,
1996,indoor track and field,boys,Overall,Salesianum,Ralph Heiss,Hodgson,80,68,,
1995,indoor track and field,boys,Overall,Dover,Steve Pickering,William Penn,77,58,,
1994,indoor track and field,boys,Overall,Glasgow,Art Madric,Salesianum,71,57,,
1993,indoor track and field,boys,Overall,Cape Henlopen,Tim Bamforth,Salesianum,82,74,,
1992,indoor track and field,boys,Overall,Salesianum,Ralph Heiss,Newark,71.5,61.5,,
1991,indoor track and field,boys,Overall,Seaford,Rob Perciful,Newark,105,84,,
1990,indoor track and field,boys,Overall,Delcastle,Ernie Anderson,Salesianum,144,81.5,,
1989,indoor track and field,boys,Overall,Howard,Art Madric,Delcastle,122,106.5,,
1988,indoor track and field,boys,Overall,Howard,Whelton Miller,Delcastle,99,81,,
1987,indoor track and field,boys,Overall,Delcastle,Ernie Anderson,Howard,81,77,,
1986,indoor track and field,boys,Overall,Delcastle,Ernie Anderson,Saint Mark’s,82,66,,
1985,indoor track and field,boys,Overall,Cape Henlopen,Dave Frederick,Salesianum,99,70,,
1984,indoor track and field,boys,Overall,Cape Henlopen,Dave Frederick,Howard,100,70,,
1983,indoor track and field,boys,Overall,Salesianum,Rev. Joseph Beattie,Howard,86,80,,
1982,indoor track and field,boys,Overall,Howard,Bob King,Delcastle,78.5,76,,
2025,indoor track and field,girls,Overall,Tatnall,Patrick Castagno,Padua,133,107.5,,
2024,indoor track and field,girls,Overall,Tatnall,Patrick Castagno,Padua,162,129,,
2023,indoor track and field,girls,Overall,Tatnall,Patrick Castagno,Padua,131,107,,
2022,indoor track and field,girls,Overall,Padua,Marnie Giunta,Saint Mark's,134.66,113.83,,
2021,indoor track and field,girls,Overall,Padua,Marnie Giunta,Ursuline,178.5,82.5,,
2020,indoor track and field,girls,Overall,Padua,Marnie Giunta,Smyrna,114,112,,
2019,indoor track and field,girls,Overall,Padua,Marnie Giunta,Smyrna,115.5,81.5,,
2018,indoor track and field,girls,Overall,Padua,Marnie Giunta,Smyrna,140,110.25,,
2017,indoor track and field,girls,Overall,Padua,Marnie Giunta,Tatnall,132.5,103,,
2016,indoor track and field,girls,Overall,Padua,Marnie Giunta,Smyrna,133.5,100,,
2015,indoor track and field,girls,Overall,Padua,Marnie Giunta,Smyrna,192,74,,
2014,indoor track and field,girls,Overall,Padua,Marnie Giunta,Delcastle,148,89,,
2013,indoor track and field,girls,Overall,Padua,Marnie Giunta,Tatnall,106,83,,
2012,indoor track and field,girls,Overall,Tatnall,Patrick Castagno,Padua,100,74,,
2011,indoor track and field,girls,Overall,Tatnall,Patrick Castagno,Milford,88,41,,
2010,indoor track and field,girls,Overall,Delcastle,Carmella Anderson,Tatnall,103,98,,
2009,indoor track and field,girls,Overall,Tatnall,Patrick Castagno,Delcastle,113,75,,
2008,indoor track and field,girls,Overall,Padua,Dan Episcopo,Tatnall,84,80,,
2007,indoor track and field,girls,Overall,Tatnall,Patrick Castagno,Charter of Wilmington,77,70,,
2006,indoor track and field,girls,Overall,Padua,Dan Episcopo,Tatnall,69,60,,
2005,indoor track and field,girls,Overall,Glasgow,Art Madric,Tower Hill,85,46,,
2004,indoor track and field,girls,Overall,Padua,Dan Episcopo,Dover,102,58,,
2003,indoor track and field,girls,Overall,Glasgow,Art Madric,Tower Hill,81,67,,
2002,indoor track and field,girls,Overall,Glasgow,Art Madric,McKean,86,56,,
2001,indoor track and field,girls,Overall,Glasgow,Art Madric,Brandywine,64,63,,
2000,indoor track and field,girls,Overall,Dover,Jim Solomon,Glasgow,84,48,,
1999,indoor track and field,girls,Overall,William Penn,Rod Lambert,Dover,72,49,,
1998,indoor track and field,girls,Overall,William Penn,Rod Lambert,Ursuline,55,50,,
1997,indoor track and field,girls,Overall,Glasgow,Art Madric,Delcastle,97,62.5,,
1996,indoor track and field,girls,Overall,Delcastle/Glasgow,Evelyn Campbell/Art Madric,,71,,,
1995,indoor track and field,girls,Overall,Dover,Steve Pickering,Delcastle,77,73,,
1994,indoor track and field,girls,Overall,Glasgow,Art Madric,Dover,69,67,,
1993,indoor track and field,girls,Overall,Dover,Steve Pickering,Saint Mark's/Glasgow,70.5,54,,
1992,indoor track and field,girls,Overall,Dover,Steve Pickering,Saint Mark's,85,53,,
1991,indoor track and field,girls,Overall,Delcastle,Ernie Anderson,Newark,62,58,,
1990,indoor track and field,girls,Overall,Delcastle,Ernie Anderson,Howard,95,92,,
1989,indoor track and field,girls,Overall,Howard,Art Madric,Delcastle,108,84,,
1988,indoor track and field,girls,Overall,Howard,Art Madric,Delcastle,95,88.5,,
1987,indoor track and field,girls,Overall,Padua,Rod Lambert,Delcastle,109,55,,
1986,indoor track and field,girls,Overall,Padua,Rod Lambert,Delcastle,122,61,,
1985,indoor track and field,girls,Overall,Padua,Rod Lambert,Saint Mark's,71,63,,
1984,indoor track and field,girls,Overall,Padua,Rod Lambert,Howard,162,66,,
1983,indoor track and field,girls,Overall,Padua,Rod Lambert,Delcastle,163,43,,
1982,indoor track and field,girls,Overall,Howard,Bob King,Padua,59.5,54,,
2025,swimming and diving,boys,Overall,Salesianum,Chip Hannig,Saint Mark's,389,273,,
2024,swimming and diving,boys,Overall,Salesianum,Chip Hannig,Saint Mark's,361,259,,
2023,swimming and diving,boys,Overall,Salesianum,Chip Hannig,Charter of Wilmington,343,230.5,,
2022,swimming and diving,boys,Overall,Salesianum,Chip Hannig,Charter of Wilmington,374,189,,
2021,swimming and diving,boys,Overall,Salesianum,Chip Hannig,Tower Hill,334,214,,
2020,swimming and diving,boys,Overall,Salesianum,Chip Hannig,Charter of Wilmington,434,360.5,,
2019,swimming and diving,boys,Overall,Salesianum,Chip Hannig,Charter of Wilmington,397,273,,
2018,swimming and diving,boys,Overall,Salesianum,Chip Hannig,Charter of Wilmington,340,257,,
